NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT01678352,Imiquimod and Tumor Lysate Vaccine Immunotherapy in Adults With High Risk or Recurrent Grade II Gliomas,https://clinicaltrials.gov/study/NCT01678352,,COMPLETED,"This is a pilot study of a vaccination regime that is designed to efficiently induce anti-tumor T-cell responses in patients with WHO grade II glioma. The proposed regime with BTIC Lysate in combination with imiquimod, an FDA-approved immune response modifier will induce potent anti-glioma immune response with minimal or no toxicity.",NO,High Risk WHO Grade II Glioma|Recurrent/Post-Chemotherapy WHO Grade II Glioma,BIOLOGICAL: Tumor Lysate Vaccine|DRUG: Imiquimod,"Dose limiting toxicity (DLT), The incidence and severity of adverse events associated with the vaccine regime will be assessed according to NCI's Common Terminology Criteria for Adverse Events V 4.0 (CTCAE), as follows:

1. . Grade 3-5 vaccine related allergic reaction
2. . Grade 3-5 organ toxicity (cardiac, dermatologic (excluding localized skin reaction), gastrointestinal, hepatic, pulmonary, renal/genitourinary, or neurologic) not pre-existing or due to the underlying malignancy and occurring within 28 days of vaccination and of any length in duration
3. . Grade 2 -5 autoimmune reactions (such as hypothyroidism), Two Years|Induction of BTIC Lysate-specific T-cell response, We will determine the response rate and magnitude of immune response in post-vaccine peripheral blood mononuclear cells (PBMC) against the BTIC Lysate in response to this form of vaccine, using IFN-enzyme-linked immuno-spot (ELISPOT) assays., Two Years",,,Frank Lieberman,University of Minnesota,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,19.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,11-136,2012-10,2017-11-08,2018-11-08,2012-09-05,,2020-02-24,"University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, 15232, United States",
NCT01846143,Evaluation of a Multi-phosphopeptide Vaccine Plus PolyICLC in Participants With High Risk and Advanced Malignancies,https://clinicaltrials.gov/study/NCT01846143,Mel59,COMPLETED,The purpose of this study is to learn what effects (good and bad) experimental phosphopeptide vaccines plus a tetanus peptide and other substances called polyICLC and Montanide ISA-51 have on people with melanoma. The investigators will also look at whether the experimental reagents cause any changes in the immune system.,NO,Melanoma,BIOLOGICAL: pBCAR3-phosphopeptide|BIOLOGICAL: pIRS2-phosphopeptide|BIOLOGICAL: 2-MpP (pBCAR3-phosphopeptide + pIRS2-phosphopeptide),"Safety, Adverse events occurring in each subject will be reported until 30 days post administration of the last vaccine., 30 days post administration of the last vaccine","Immunogenicity of phosphopeptide vaccines, Evaluation of immunogenicity will be measured by immune response to the phosphopeptides by ELIspot assay of PBL., Through Day 85",,"Craig L Slingluff, Jr",,ALL,"ADULT, OLDER_ADULT",PHASE1,15.0,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,15832,2013-05,2015-06,2015-11,2013-05-03,,2016-08-12,"University of Virginia, Charlottesville, Virginia, 22908, United States",
NCT01909752,Combination Vaccine Immunotherapy (DRibbles) for Patients With Definitively-Treated Stage III Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01909752,,COMPLETED,"This study will test an investigational vaccine, called DRibbles, for the treatment of non-small cell lung cancer (NSCLC). We hypothesize that vaccination with the DRibble vaccine will cause an immune responses against proteins contained in the DRibble vaccine and the protein antigens targeted by this strong immune response will include common antigens shared by both the vaccine and the patient's tumor.",NO,"Carcinoma, Non-Small-Cell Lung",DRUG: Cyclophosphamide|BIOLOGICAL: DRibble vaccine|DRUG: Imiquimod|DRUG: GM-CSF|BIOLOGICAL: HPV vaccine,"Identify the regimen that produces the strongest antibody response, The best regimen will be defined as the one that generates the greatest increase in the number of strong antibody responses as defined by a greater than 15-fold increase in antibody, as measured using the Immune Response Biomarker Profiling Array (Invitrogen) on the day 95 serum sample., 95 days","Safety, To evaluate the overall safety of allogeneic NSCLC DRibble vaccine alone or in combination with either imiquimod or GM-CSF, as adjuvant treatment for definitively-treated patients with Stage IIIA or B NSCLC. During the treatment period, patients will be seen in clinic 13 times over a 22-week period; performance status and side-effects will be evaluated at each visit., 43 weeks|Progression free survival, Evaluate progression-free survival. Tumor measurements by CT scan will be obtained at week 16 and subsequently at the discretion of the treating investigator. After the treatment period, patients will be seen every 3 months for 2 years, or until progressive disease., 2 years|Immune response and progression-free survival correlation., Evaluate whether any immune response data correlate with progression-free survival. Immune response data will be collected 12 times over the first 43 weeks and then every 3 months until two years or progressive disease. This data will be correlated with progression-free survival., 2 years",,UbiVac,"National Cancer Institute (NCI)|Providence Cancer Center, Earle A. Chiles Research Institute|Providence Health & Services|Mayo Clinic|Louisiana State University Health Sciences Center in New Orleans",ALL,"ADULT, OLDER_ADULT",PHASE2,12.0,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,UbiVac DPV-001|R44CA121612,2013-07,2016-11,2017-04,2013-07-26,,2017-07-06,"LSU Stanley S. Scott Cancer Center, New Orleans, Louisiana, 70112, United States|Providence Cancer Center, Portland, Oregon, 97213, United States",
NCT01920191,Phase I/II Trial of IMA950 Multi-peptide Vaccine Plus Poly-ICLC in Glioblastoma,https://clinicaltrials.gov/study/NCT01920191,,COMPLETED,"RATIONALE : IMA 950 is multi tumour-associated peptides (TUMAPs) vaccine, these peptides have been identified on primary glioblastoma multiforme (GBM) cells. Poly-ICLC is a potent vaccine adjuvant with broad innate and adaptive immune enhancing effects. IMA 950 and Poly-ICLC will be administered to patients alongside standard primary therapy for glioblastoma. This includes the alkylating drug temozolomide (TMZ). Effective vaccine-induced immune responses associated with prolonged survival have been observed in glioblastoma patients during TMZ adjuvant therapy, suggesting a possible synergistic effect. A second component of glioblastoma standard treatment is external beam irradiation of the tumor site post-surgery. As a side effect, potentially beneficial tumor-infiltrating immune cells may also be killed by radiation. However, the combination of radiation with immunotherapy has been suggested to be favorable both in pre-clinical models.",NO,"CNS Tumor, Adult",BIOLOGICAL: IMA 950|BIOLOGICAL: Poly ICLC|OTHER: Immunomonitoring,"Tolerability and safety of IMA950 adjuvanted with Poly-ICLC when given together with temozolomide, using CTCAE V 4.0, up to 2 years","6, 9 month progression free survival (PFS) using gadolinium enhanced MRI and clinical assessment according to revised RANO criteria, up to 2 years|Overall survival (OS), up to 2 years|Immunologic endpoints, Correlation between clinical and immunological response. Blood sampling at baseline (week 4 and 5 after beginning of radiotherapy with concomitant temozolomide) and at week 10,11,12,16,19,23,27 and 31.

Punch biopsy at DTH (Delayed Type Hypersensitivity) site performed 48h after DTH skin test 7 days after Vaccination 7.

* evaluation of peptide immunogenicity by tetramer staining
* analysis of memory, activation and homing marker expression by tetramer positive cells
* analysis of cytokine secretion and proliferation by antigen-specific CD4 and CD8 T cells
* analysis of the presence of T regulatory and myeloid-derived suppressor cells, up to 2 years",,"University Hospital, Geneva","Immatics Biotechnologies GmbH|Oncovir, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,19.0,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,IMA950 Poly ICLC,2013-08,2016-03,2016-03,2013-08-09,,2016-04-20,"Geneva University Hospitals, Centre of Oncology, Geneva, CH-1211, Switzerland",
NCT01970358,A Phase I Study With a Personalized NeoAntigen Cancer Vaccine in Melanoma,https://clinicaltrials.gov/study/NCT01970358,,COMPLETED,"This research study is evaluating a new type of melanoma vaccine called ""Personalized NeoAntigen Cancer Vaccine"". The purpose of this study is to determine if it is possible to make and administer safely a vaccine against melanoma by using information gained from specific characteristics of the participant's own melanoma. It is known that melanomas have mutations (changes in genetic material) that are specific to an individual patient and tumor. These mutations can cause the tumor cells to produce proteins that appear very different from the body's own cells. It is possible that these proteins used in a vaccine may induce strong immune responses, which may help the participant's body fight any tumor cells that could cause the melanoma to come back in the future. The study will examine the safety of the vaccine when given at several different time points and will examine the participant's blood cells for signs that the vaccine induced an immune response.",NO,Melanoma,BIOLOGICAL: Poly-ICLC|BIOLOGICAL: Peptides,"Number of participants experiencing clinical and laboratory adverse events (AEs), 7 weeks from first study drug administration|Number of participants for whom sequencing and analysis leads to identification of at least 10 actionable peptides to initiate vaccine production, 12 weeks","Number of participants with specific cellular immune responses following administration of NeoVax, 16 weeks|Number of participants alive without progression at two years after surgery following administration of NeoVax, 2 Years",,"Patrick Ott, MD",,ALL,"ADULT, OLDER_ADULT",PHASE1,20.0,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,13-240,2014-01,2015-09,2018-06,2013-10-28,,2020-12-09,"Brigham and Women's Hospital, Boston, Massachusetts, 02115, United States|Dana Farber Cancer Institute, Boston, Massachusetts, 02115, United States",
NCT01978964,Phase 1b Maintenance Therapy Study of ONT-10 in Patients With Solid Tumors,https://clinicaltrials.gov/study/NCT01978964,,COMPLETED,"This is an open label phase 1b maintenance therapy study to evaluate the long-term safety, immunogenicity, and anti-tumor effects of repeat-dose vaccination with ONT-10 in patients who have demonstrated safety and clinical benefit on the original ONT-10-001 phase 1 study.",NO,Solid Tumors,BIOLOGICAL: ONT-10,"Incidence and severity of adverse events and lab abnormalities, 20-60 weeks","Immunogenicity and anti-tumor activity, Assessments of humoral and cellular immune response and overall response as per irRC and RECIST 1.1., 20-60 weeks",,Cascadian Therapeutics Inc.,,ALL,"ADULT, OLDER_ADULT",PHASE1,90.0,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,ONT-10-002,2012-11,2016-03,2016-03,2013-11-08,,2018-05-17,"Mary Crowley Cancer Research Centers, Dallas, Texas, 75201, United States",
NCT02129075,A Vaccine (CDX-1401) With or Without a Biologic Drug (CDX-301) for the Treatment of Patients With Stage IIB-IV Melanoma,https://clinicaltrials.gov/study/NCT02129075,,COMPLETED,"This phase II trial studies the effect of a vaccine called CDX-1401 given with or without a biologic drug called CDX-301 in treating patients with stage IIB-IV melanoma. The cancer vaccine CDX-1401 attaches to a protein that is made in tumor cells. The vaccine helps the body recognize the tumor to fight the cancer. The biologic drug CDX-301 may help the body make more of the tumor fighting cells, known as dendritic cells. Another biologic drug, poly-ICLC, may stimulate the immune system and help these dendritic cells mature so that they can recognize the tumor. Giving CDX-301 may make the immune response to a combination of CDX-1401 and poly-ICLC better.",YES,Cutaneous Melanoma|Melanoma|Melanoma of Unknown Primary|Mucosal Melanoma|Ocular Melanoma|Stage IIB Cutaneous Melanoma AJCC v6 and v7|Stage IIC Cutaneous Melanoma AJCC v6 and v7|Stage III Cutaneous Melanoma AJCC v7|Stage IIIA Cutaneous Melanoma AJCC v7|Stage IIIB Cutaneous Melanoma AJCC v7|Stage IIIC Cutaneous Melanoma AJCC v7|Stage IV Cutaneous Melanoma AJCC v6 and v7,BIOLOGICAL: DEC-205/NY-ESO-1 Fusion Protein CDX-1401|DRUG: Poly ICLC|BIOLOGICAL: Recombinant Flt3 Ligand,"Immune T-cell Response to NY-ESO-1, Response rates will be analyzed by tabulating the frequency of positive response for each assay by antigen and treatment arm at each time point for which an assessment is performed. Response rates will be presented with their corresponding 95% confidence interval estimates calculated using the score test method. Fisher's exact tests will be used to compare cohort 1 and cohort 2 at the peak time point, with a significant difference declared if the 1-sided P value is =\< 0.10., At 12 weeks after final vaccination","T Cell Responses to Other Ongoing and Nascent Antitumor Response Antigens Associated With Melanoma (e.g. PRAME, MAGE-A3, p53, and gp1000) as Well as Memory and Chronic Viral Responses (CMV, EBV), Response rates will be analyzed by tabulating the frequency of positive response for each assay by antigen and treatment arm at each time point for which an assessment is performed. Response rates will be presented with their corresponding 95% confidence interval estimates calculated using the score test method. Fisher's exact tests will be used to compare cohort 1 and cohort 2 at the peak time point, with a significant difference declared if the 1-sided P value is =\< 0.10., Up to 12 weeks after final vaccination|Frequency and Phenotypic Character of PBMC Subsets Including DCs, Monocyte Populations, T Cells, and NK Cells - Highest Peak Fold Change Over Baseline (Log 2 Fold), Graphical and tabular summaries of the assay data will be made. Linear mixed effects model and possibly weighted generalized estimating equation methods will be considered for a supportive analysis of the longitudinal data over time., Up to 12 weeks after final vaccination|Tumor Recurrence, Time to first recurrence from first vaccine among subjects who have experienced recurrence. (days), Up to 600 days from first vaccine|Overall Survival, Overall survival not assessed, Up to 1 year after patient's 12 week visit",,National Cancer Institute (NCI),,ALL,"ADULT, OLDER_ADULT",PHASE2,60.0,NIH,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,NCI-2014-00898|NCI-2014-00898|CITN-07-FLT3L|CITN-07-FLT3L|CITN-07-FLT3L|P30CA015704|U01CA154967,2014-04-09,2016-03-28,2018-05-18,2014-05-02,2021-11-16,2021-11-16,"University of Chicago Comprehensive Cancer Center, Chicago, Illinois, 60637, United States|Laura and Isaac Perlmutter Cancer Center at NYU Langone, New York, New York, 10016, United States|Mount Sinai Hospital, New York, New York, 10029, United States|Duke University Medical Center, Durham, North Carolina, 27710, United States|Cleveland Clinic Foundation, Cleveland, Ohio, 44195, United States|Providence Portland Medical Center, Portland, Oregon, 97213, United States|University of Wisconsin Hospital and Clinics, Madison, Wisconsin, 53792, United States",
NCT02151448,αDC1 Vaccine + Chemokine Modulatory Regimen (CKM) as Adjuvant Treatment of Peritoneal Surface Malignancies,https://clinicaltrials.gov/study/NCT02151448,,COMPLETED,"This trial is to determine the safest dose of a triple combination (chemokine modulatory regimen or CKM) of celecoxib, interferon alfa (IFN), and rintatolimod that can be given with a DC vaccine as treatment of peritoneal surface malignancies after standard of care surgery.

The first phase of this study will determine the safest dose of IFN that can be given in combination with celecoxib and rintatolimod along with a DC vaccine. The doses of celecoxib (400 mg) and rintatolimod (200 mg) will be consistent while the dose of IFN will be increased (5, 10, or 20 MU/m2) as participants are enrolled to the trial. The high dose of IFN in combination with celecoxib and rintatolimod will be used for the next phase of the clinical trial. After surgery, participants will receive 2 cycles of the investigational treatment.

The second phase of this study will test if the investigational treatment has any effects on peritoneal surface malignancies. The doses of the combination determined in the first phase will be used in this phase of the clinical trial. After surgery, participants will receive 2 cycles of the investigational treatment, followed by standard chemotherapy as determined by their oncologist, and then 2 more cycles of the investigational treatment.",YES,Malignant Neoplasm of Pancreas Metastatic to Peritoneal Surface|Malignant Peritoneal Mesothelioma|Peritoneal Carcinomatosis,BIOLOGICAL: DC vaccine|DRUG: Celecoxib|DRUG: Interferon Alfa-2b|BIOLOGICAL: rintatolimod,"Recommended Phase 2 Dose (RP2D) (Phase 1), Number of patients treated at each of the three possible dose levels of Interferon α (5 MU/m\^2, 10 MU/m\^2 or 20 MU/m\^2) during the Phase 1 portion of the study., Up to 24 weeks|Adverse Events Possibly, Probably or Definitely Related to Study Treatment, Number of participants with adverse events (by Grade) that were possibly, probably or definitely related to the combined study immunotherapy regimen (αDC1 vaccines + CKM) per CTCAE v 4.0 (Common Terminology Criteria for Adverse Events)., Up to 24 weeks","Time to Progression (TTP), The length of time from the start of treatment until disease progression, per RECIST 1.1 considering only patients whose deaths were from cancer. Disease progression per RECIST 1.1 Progressive Disease (PD): At least a 20% increase in the sum of diameters of target lesions, taking as reference the smallest sum on study (this includes the baseline sum if that is the smallest on study). In addition to the relative increase of 20%, the sum must also demonstrate an absolute increase of at least 5 mm. (Note: the appearance of one or more new lesions is also considered progression)., Up to18 months|Overall Survival (OS), The length of time from the start of treatment that diagnosed patients are still alive., Up to 5 years|Progression-free Survival (PFS), The length of time during and after the treatment that patients remain alive with disease that does not progress. Per RECIST 1.1, Progressive Disease (PD): At least a 20% increase in the sum of diameters of target lesions, taking as reference the smallest sum on study (this includes the baseline sum if that is the smallest on study). In addition to the relative increase of 20%, the sum must also demonstrate an absolute increase of at least 5 mm. (Note: the appearance of one or more new lesions is also considered progression)., Up to 5 years|CXCL10 (Interferon Gamma-induced Protein 10) Levels, Chemokine CXCL10 (Interferon gamma-induced protein 10) concentration levels measures in peripheral blood as a biomarker of anti-tumor activity. Increased levels can be predictive of good prognosis., Prior to vaccine administration (Week 1), prior to vaccine booster (Week 4) and after vaccine booster (Week 8)|CXCL11 (C-X-C Motif Chemokine 11) Levels, CXCL11 (C-X-C motif chemokine 11) protein concentration levels measures in peripheral blood. Increased levels can be predictive of good prognosis., Prior to vaccine administration (Week 1), prior to vaccine booster (Week 4) and after vaccine booster (Week 8)|Interleukin 10 (IL-10) Levels, Interleukin 10 (IL-10) (human cytokine synthesis inhibitory factor (CSIF)) concentration levels measures in peripheral blood. Increased levels of IL-10 is associated with advanced disease and poor prognosis., Prior to vaccine administration (Week 1), prior to vaccine booster (Week 4) and after vaccine booster (Week 8)|Interleukin 6 (IL-6) Cytokine Levels, Interleukin 6 (IL-6) concentration levels measures in peripheral blood. Increased levels of IL-6 is associated with associated with advanced disease and poor prognosis., Prior to vaccine administration (Week 1), prior to vaccine booster (Week 4) and after vaccine booster (Week 8)|Interleukin-8 (IL-8) Cytokine Levels, Interleukin-8 (IL-8) cytokine concentration levels measures in peripheral blood. Increased levels of IL-8 is associated with associated with advanced disease and poor prognosis., Prior to vaccine administration (Week 1), prior to vaccine booster (Week 4) and after vaccine booster (Week 8)|Stromal Derived Factor 1 Alpha (SDF-1A/CXCL-12) Chemokine Levels, Levels of stromal derived factor 1 alpha (SDF-1A/CXCL-12) chemokine in peripheral blood. Higher levels of SDF-1A/CXCL-12 is associated with good prognosis., Prior to vaccine administration (Week 1), prior to vaccine booster (Week 4) and after vaccine booster (Week 8)|Tumor Necrosis Factor (TFNα) Cytokine Levels, Tumor necrosis factor (TFNα) cytokine concentration levels measures in peripheral blood. Higher TFNα levels is associated with good prognosis., Prior to vaccine administration (Week 1), prior to vaccine booster (Week 4) and after vaccine booster (Week 8)",,David Bartlett,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,64.0,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,12-110|5P01CA132714-05|12-110,2014-07,2019-02-18,2019-02-18,2014-05-30,2020-01-28,2020-07-20,"UPMC Hillman Cancer Center, Pittsburgh, Pennsylvania, 15232, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/48/NCT02151448/Prot_SAP_000.pdf"
NCT02229084,Vaccination of High Risk Breast Cancer Patients,https://clinicaltrials.gov/study/NCT02229084,,COMPLETED,"The purpose of this study is to evaluate a new investigational cancer vaccine, P10s-PADRE in combination with standard neoadjuvant chemotherapy and surgery in patients with clinical stage I, II or III estrogen-receptor (ER)-positive, HER2-negative breast cancer.",YES,Breast Cancer|Breast Neoplasms,BIOLOGICAL: P10s-PADRE/ MONTANIDE™ ISA 51 VG|DRUG: Doxorubicin|DRUG: Cyclophosphamide|DRUG: Docetaxel,"Identify a Feasible Schedule of Vaccination Relative to SoC Neoadjuvant Chemotherapy When the Chemovax Are Administered Concurrently., Number of participants with sufficiently high anti-P10s immunoglobulin-G response Feasibility will be evaluated in terms of

1. Generation of a sufficiently high anti-P10s immunoglobulin-G response
2. Safety and tolerability of the combination of vaccine and chemotherapy, At the time of definitive surgery (4-8 weeks after chemo, which is between Week 22 and Week 25)|Determine the pCR Rate, The patient-level primary outcome for this objective is pCR, which is binary yes/no, and the study-level endpoint for this outcome is the rate of pCR, i.e. the percentage of patients that achieved pCR=yes. The patient is assessed at the time of surgery for whether they achieved pCR=yes. They have to do the surgery in order to obtain the tissue samples on which they do their pCR assessment., At the time of definitive surgery (4-8 weeks after chemo, which is between Week 22 and Week 25)","P10s-MAP-Reactive Immunoglobulin Titers, The anti-P10s binding level was measured via ELISA method after incubation with a subject's serum or plasma sample. Data was collected at multiple timepoints throughout the study. Values were averaged for each group., Week 1 through Week 70|Activation Profiles of NK Cells: Pre-Immune and Post-Immune CD16, Activated-NK-cell profiles will be determined via flow cytometry as the expression levels of different activation markers on NK cells in the subject's blood sample. Data was collected at multiple timepoints throughout the study. Values were averaged for each group. For some participants, CD16 was not assessable., Week 1 through Week 70|Activation Profiles of NK Cells: Pre-Immune and Post-Immune CD69, Activated-NK-cell profiles will be determined via flow cytometry as the expression levels of different activation markers on NK cells in the subject's blood sample. Data was collected at multiple timepoints throughout the study. Values were averaged for each group. For some participants, CD69 was not assessable., Week 1 through Week 70|Activation Profiles of NK Cells: Pre-Immune and Post-Immune NKp46, Activated-NK-cell profiles will be determined via flow cytometry as the expression levels of different activation markers on NK cells in the subject's blood sample. Data was collected at multiple timepoints throughout the study. Values were averaged for each group. For some participants, NKp46 was not assessable., Week 1 through Week 70",,University of Arkansas,,FEMALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,58.0,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,202556,2015-01-14,2023-01-03,2023-01-03,2014-08-29,2024-05-23,2024-05-23,"Highlands Oncology Group, Fayetteville, Arkansas, 72703, United States|University of Arkansas for Medical Sciences, Little Rock, Arkansas, 72205, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/84/NCT02229084/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/84/NCT02229084/ICF_002.pdf"
NCT02234921,Pilot Study of DRibble Vaccine for Prostate Cancer Patients,https://clinicaltrials.gov/study/NCT02234921,DRibble,COMPLETED,This is a pilot study of the DRibble vaccine in patients with advanced prostate cancer.,NO,Adenocarcinoma of the Prostate,DRUG: Cyclophosphamide|BIOLOGICAL: DRibble Vaccine|BIOLOGICAL: HPV Vaccinations|DRUG: Imiquimod,"Safety Assessment, Patients will come to clinic 10 times over a 28 week period and have blood tests and vital sign measurements at each visit. In addition, patients will have 8 physical exams and performance status evaluations during this time period to evaluate possible toxicities related to study treatment., 28 Weeks","Immune Response, Patients will have 11 blood draws during the study to evaluate the immune response. In addition, patients will undergo two leukapheresis procedures and provide two biopsy samples (if cancer is amenable to safe biopsy) to evaluate immune response., 28 weeks|Prostate Cancer Response to DRibble vaccine, Patients will have 8 Prostate-Specific Antigen (PSA) Tests over a 22-week period and 3 CT scans over a 28-week period to assess response to treatment., 28 weeks","Microbiome identification, Patients will provide 3 stool samples for microbiome identification for future research to see if there is a correlation with response to treatment., 12 weeks",UbiVac,"Providence Health & Services|Providence Cancer Center|Providence Cancer Center, Earle A. Chiles Research Institute",MALE,"CHILD, ADULT, OLDER_ADULT",PHASE1,3.0,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,14-116B,2014-10-24,2018-08-15,2018-08-15,2014-09-09,,2018-10-11,"Providence Health & Services, Portland, Oregon, 97213, United States",
NCT02364492,A Phase I Study of a Therapeutic Vaccine Candidate in Patients With Localized Breast Cancer at High-Risk of Relapse,https://clinicaltrials.gov/study/NCT02364492,MAGTRIVACSEIN,COMPLETED,"The purpose of this study is to evaluate if a maximum tolerated dose (MTD) can be obtained following 2 administrations of the MAG-Tn3 + AS15 cancer vaccine when administered at doses of 30 µg, 100 µg or 300 µg IM every three weeks.",NO,Breast Neoplasms,DRUG: MAG-TN3 + AS15,"To assess the number of patient(s) presenting dose-limiting toxicities (DLTs) from the first vaccine injection in the first patient of the dose cohort till 3 weeks after the second vaccine injection of the last patient of the dose cohort., 3 weeks after 2 study vaccine injections corresponding to visit number 5.",,,Institut Pasteur,,ALL,"ADULT, OLDER_ADULT",PHASE1,20.0,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014.14,2015-02,2019-10,2021-11-11,2015-02-18,,2022-04-01,"Centre Léon Bérard, Lyon, France|Institut de Cancérologie de l'OUEST - Centre René Gauducheau, Nantes, 44805, France|Institut Curie, Paris, 75005, France|HEGP, Paris, France|Institut Gustave Roussy (IGR), Villejuif, 94805, France",
NCT02411786,A Phase I Study of a DNA Vaccine Encoding Androgen Receptor Ligand-Binding Domain (AR LBD) +/-GMCSF,https://clinicaltrials.gov/study/NCT02411786,,COMPLETED,The purpose of this study is to determine if a vaccine called pTVG-AR can enhance the participant's immune response against prostate cancer.,NO,Prostate Cancer,BIOLOGICAL: pTVG-AR|BIOLOGICAL: gm-csf,"Number and severity of adverse events following serial intradermal vaccinations of a DNA vaccine encoding AR LBD, with or without GM-CSF as an adjuvant, in patients with metastatic prostate cancer, From first immunization to Week 72|Immune Response Rate, From first immunization to Week 72","Median Progression-Free Survival, Median time to PSA progression will be determined as a function of the date the participant started on androgen deprivation and as a function of treatment start date (week 0). Development of new metastases or discontinuation of study to begin other therapy, while not expected to precede a PSA progression endpoint, would also constitute a progression endpoint., From first immunization to Week 72|18-Month Progression-Free Survival, 18 months|The proportion of patients with a T-cell immune response., Generation of AR LBD-specific peptide-specific CD8+ T cells as defined by ELISPOT and tetramer staining, From first immunization to Week 72|The number of patients that generate antigen specific tolerance, Antigen-specific tolerance generation following multiple immunizations, From first immunization to Week 72|Association between pre-existing immune responses to the AR LBD and development of subsequent effector and memory T-cell immune response, From first immunization to Week 72|Association between development of antigen-specific T cells and 18-month progression-free survival, From first immunization to Week 72",,"University of Wisconsin, Madison",Madison Vaccines Incorporated,MALE,"ADULT, OLDER_ADULT",PHASE1,40.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,UW14072|2014-1456|A534260|SMPH/MEDICINE/MEDICINE*H|NCI-2015-00808,2015-08-24,2019-05-01,2020-11-28,2015-04-08,,2021-02-04,"Cancer Institute of New Jersey, New Brunswick, New Jersey, 08903, United States|University of Washington Seattle Cancer Care Alliance, Seattle, Washington, 98109, United States|University of Wisconsin Carbone Cancer Center, Madison, Wisconsin, 53792, United States",
