NCT Number,Study Title,Brief Summary,Adjuvant Name
NCT00028496,Vaccine Therapy With or Without Sargramostim in Treating Patients With Advanced or Metastatic Cancer,Phase I trial to study the effectiveness of vaccine therapy with or without sargramostim in treating patients who have advanced or metastatic cancer. Vaccines may make the body build an immune response to kill tumor cells. Colony-stimulating factors such as sargramostim may increase the number of immune cells found in bone marrow or peripheral blood. Combining vaccine therapy with sargramostim may make tumor cells more sensitive to the vaccine and may kill more tumor cells,GM-CSF
NCT00148928,Safety & Activity of P501-AS15 Vaccine as a First-line Treatment for Patients With Hormone-sensitive Prostate Cancer Who Show Rising PSA,"Patients with hormone-sensitive prostate cancer and rising PSA, after primary tumor treatment, will be treated with the P501-AS15 vaccine as out-patients. The maximum dose will be 16 vaccinations, given over a period of approximately one year. Thereafter, the patients' long-term safety and PSA status will be followed over a period of approximately 11 months.",AS15
NCT00844506,p53 Synthetic Long Peptides Vaccine With Cyclophosphamide for Ovarian Cancer,The purpose of this study is to determine whether the addition of cyclophosphamide to the treatment with the p53-SLP vaccine improves clinical efficacy and immunogenicity of the p53-SLP vaccine in ovarian cancer patients.,Montanide ISA51
NCT00616941,"Phase 1 Study of NY-ESO-1 Overlapping Peptides in Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Cancer","This was a Phase 1, open-label study of repeated vaccination with NY-ESO-1 overlapping peptides (OLP4) with or without the immunoadjuvants Montanide and polyinosinic-polycytidylic acid - poly-L-lysine carboxymethylcellulose (poly-ICLC) administered every 3 weeks for a total of 5 vaccinations in subjects with epithelial ovarian, fallopian tube, or primary peritoneal cancer in second or third clinical remission. Study objectives included determination of the safety and immunogenicity following vaccination.",Poly-ICLC
NCT00197912,Dendritic Cell Based Therapy of Malignant Melanoma,"The aim of the study is to show if vaccination with autologous dendritic cells pulsed with peptides or tumor lysate in combination with adjuvant cytokines and Cyclophosphamide can induce a measurable immune response in patients with metastatic malignant melanoma, and to evaluate the clinical effect (objective response rate) of the vaccination regime.",other
NCT03645148,Clinical Study of a Personalized Neoantigen Cancer Vaccine in Treating Patients With Advanced Pancreatic Cancer,"This research study is evaluating a new type of pancreatic cancer vaccine called ""Personalized Neoantigen Cancer Vaccine"" as a possible treatment for advanced pancreatic cancer. The purpose of the clinical study is evaluating the safety, tolerability and partial efficacy of the personalized neoantigen cancer vaccine in the treatment of Chinese patients with advanced pancreatic cancer, so as to provide a new personalized therapeutic strategy for advanced pancreatic cancer patients.

It is known that cancer patients have mutations (changes in genetic material) that are specific to an individual patient and tumor. These mutations can cause the tumor cells to produce proteins that appear very different from the body's own cells. It is possible that these proteins used in a vaccine may induce strong immune responses, which may help the participant's body fight any tumor cells that could cause the cancer to come back in the future. The study will examine the safety of the vaccine when given at several different time points and will examine the participant's blood cells for signs that the vaccine induced an immune response.",GM-CSF
NCT00019396,flt3L With or Without Vaccine Therapy in Treating Patients With Metastatic Melanoma or Renal Cell Cancer,"RATIONALE: The drug flt3L may stimulate a person's immune system and help to kill tumor cells. Vaccines made from melanoma cells may make the body build an immune response to and kill their tumor cells.

PURPOSE: Phase II trial to study the effectiveness of flt3L with or without vaccine therapy in treating patients with metastatic melanoma or renal cell cancer.",Montanide ISA51
NCT01349647,"Immunization With a Pentavalent Vaccine Composed of KLH-conjugates of GD2L, GD3L, Globo H, Fucosyl GM1, and N-Propionylated Polysialic Acid","Even when small cell lung cancer responds well to treatment with chemotherapy, it has a tendency to grow back and to spread. The investigators are interested in testing new therapies aimed at decreasing this risk. This study tests a vaccine, which is a substance injected under the skin which can cause an immune response. The hope is that the body will make antibodies to the vaccine which will also react against the cancer. The vaccine is specific for small cell lung cancer. It combines several components (small cell lung cancer targets) that have been tested individually in patients with small cell lung cancer or other cancers (GD2, GD3, Globo H, Fucosyl GM1 and N-propionylated polysialic acid). Two other substances (KLH and OPT-821) are added which boost the immune system.

This study will have two groups of patients. The first group will receive the vaccines along with one cycle of chemotherapy. The second group will receive the vaccines without chemotherapy.",OPT-821 adjuvant
NCT00674791,Study of Cancer Peptides Vaccine Plus GM-CSF as Adjuvant Treatment for High Risk (TXN2-3M0) or Metastatic Breast Cancer With No Evidence of Disease,"This study will evaluate the safety and feasibility of administering a peptide vaccine consisting of twelve different tumor-rejection antigens to patients with high risk (TxN2-3M0) or metastatic breast cancer with no evidence of disease following their completion of systemic therapy. The vaccine is designed to elicit immune responses against twelve different pathways that are essential to tumor growth, survival and metastasis.",GM-CSF
NCT00436930,Vaccine Therapy and GM-CSF in Treating Patients With Recurrent or Metastatic Melanoma,"RATIONALE: Vaccines made from a person's tumor cells and white blood cells may help the body build an effective immune response to kill tumor cells. Colony-stimulating factors, such as GM-CSF, increase the number of white blood cells and platelets found in bone marrow or peripheral blood. Giving vaccine therapy together with GM-CSF may be an effective treatment for melanoma.

PURPOSE: This randomized phase II trial is studying two different vaccine therapy regimens to compare how well they work when given together with GM-CSF in treating patients with recurrent or metastatic melanoma.",GM-CSF
NCT03359239,Atezolizumab Given in Combination With a Personalized Vaccine in Patients With Urothelial Cancer,"The purpose of this study is to determine the good and bad effects of atezolizumab given in combination with a personalized cancer vaccine in patients with urothelial cancer either after surgery to remove organ where the tumor arose (for example, removal of the bladder) or for urothelial cancer that has spread to other organs.",Poly-ICLC
NCT00665002,Pilot Trial of a WT-1 Analog Peptide Vaccine in Patients With Myeloid Neoplasms,The purpose of this study is to determine whether the WT-1 vaccine causes an immune response and is safe. The WT-1 vaccine is made up of protein pieces that the patient's immune system can recognize as abnormal.,GM-CSF
NCT02947854,"Study to Assess Safety, Tolerability and Immune Response of Fimaporfin-induced Photochemical Internalisation of Antigen/Adjuvant","Fimaporfin (TPCS2a) is a photosensitiser drug being developed by PCI Biotech AS for use in novel Photochemical Internalisation (PCI) technology. PCI technology is designed to enhance the effects of other drugs in a site-specific, light-directed manner and is used to re-localise endocytosed molecules from endosomes to cytosol. This research study is evaluating the use of the PCI Technology in combination with adjuvant and vaccine antigens for safety and induction of immune responses.",Poly-ICLC
NCT00019591,Vaccine Therapy With or Without Interleukin-2 in Treating Patients With Locally Advanced or Metastatic Colorectal Cancer,"RATIONALE: Vaccines may make the body build an immune response that will kill cancer cells. Combining vaccine therapy with interleukin-2 may kill more cancer cells.

PURPOSE: Phase I/II trial to study the effectiveness of vaccine therapy with or without interleukin-2 in treating patients who have locally advanced or metastatic colorectal cancer.",IL-2
NCT01970358,A Phase I Study With a Personalized NeoAntigen Cancer Vaccine in Melanoma,"This research study is evaluating a new type of melanoma vaccine called ""Personalized NeoAntigen Cancer Vaccine"". The purpose of this study is to determine if it is possible to make and administer safely a vaccine against melanoma by using information gained from specific characteristics of the participant's own melanoma. It is known that melanomas have mutations (changes in genetic material) that are specific to an individual patient and tumor. These mutations can cause the tumor cells to produce proteins that appear very different from the body's own cells. It is possible that these proteins used in a vaccine may induce strong immune responses, which may help the participant's body fight any tumor cells that could cause the melanoma to come back in the future. The study will examine the safety of the vaccine when given at several different time points and will examine the participant's blood cells for signs that the vaccine induced an immune response.",Poly-ICLC
NCT02411786,A Phase I Study of a DNA Vaccine Encoding Androgen Receptor Ligand-Binding Domain (AR LBD) +/-GMCSF,The purpose of this study is to determine if a vaccine called pTVG-AR can enhance the participant's immune response against prostate cancer.,GM-CSF
NCT02229084,Vaccination of High Risk Breast Cancer Patients,"The purpose of this study is to evaluate a new investigational cancer vaccine, P10s-PADRE in combination with standard neoadjuvant chemotherapy and surgery in patients with clinical stage I, II or III estrogen-receptor (ER)-positive, HER2-negative breast cancer.",Montanide ISA51
NCT00648102,"Phase I Study of CDX-1307, hCG-B Vaccine, for Patients With Incurable, Locally Advanced or Metastatic Breast, Colorectal, Pancreatic, Bladder or Ovarian Cancer","This research study is for individuals who have advanced breast, colon, pancreatic, ovarian or bladder cancer. Celldex Therapeutics, Inc. is testing a form of immune therapy (vaccine) to see if it can be used to make the immune system attack the cancer. The study includes administration of additional treatments, in combination, thought to enhance the immune response effect. This study specifically administers the vaccine systemically to explore whether dendritic cell targeted vaccines can generate more robust effects via intravenous injection. (CDX 1307-02)",poly-ICLC and GM-CSF
NCT00709462,"A Study of CDX-1307, in Patients With Incurable Breast, Colorectal, Pancreatic, Ovarian or Bladder Cancer (CDX 1307-01)","This research study is for individuals who have advanced breast, colon, pancreatic, ovarian or bladder cancer. Celldex Therapeutics, Inc. is testing a form of immune therapy (vaccine) to see if it can be used to make the immune system attack the cancer. The study includes administration of additional treatments, in combination, thought to enhance the immune response effect. (CDX 1307-01)",poly-ICLC and GM-CSF
NCT03199872,"RV001V, a RhoC Anticancer Vaccine, Against Metastasis From Solid Tumours",The study will evaluate safety and immunological response to RhoC peptide vaccine in patients with prostate cancer,Montanide ISA51
NCT02364492,A Phase I Study of a Therapeutic Vaccine Candidate in Patients With Localized Breast Cancer at High-Risk of Relapse,"The purpose of this study is to evaluate if a maximum tolerated dose (MTD) can be obtained following 2 administrations of the MAG-Tn3 + AS15 cancer vaccine when administered at doses of 30 µg, 100 µg or 300 µg IM every three weeks.",AS15
NCT00470574,Vaccine Therapy and QS21 in Treating Patients With Metastatic Breast Cancer,"RATIONALE: Vaccines may help the body build an effective immune response to kill tumor cells. Giving vaccine therapy together with QS21 may cause a stronger immune response and kill more tumor cells.

PURPOSE: This clinical trial is studying the side effects and how well giving vaccine therapy together with QS21 works in treating patients with metastatic breast cancer.",QS21
NCT01095848,"A Phase I Safety Study of a Cancer Vaccine to Treat HLA-A2 Positive Advanced Stage Ovarian, Breast and Prostate Cancer","To determine the safety and immunogenicity profile of two (2) different doses of the vaccine DPX-0907 to treat breast, ovarian and prostate cancer.",Montanide ISA51
NCT00640861,Vaccine Therapy in Treating Patients With Previously Treated Stage II or Stage III Breast Cancer,"RATIONALE: Vaccines made from peptides may help the body build an effective immune response to kill tumor cells. It is not yet known which vaccine is most effective in treating breast cancer.

PURPOSE: This randomized clinical trial is studying the side effects of three different vaccine therapies and comparing the vaccines to see how well they work in treating patients with previously treated stage II or stage III breast cancer.",CPG-ODN
NCT00020267,Vaccine Therapy in Treating Patients With Metastatic Cancer,"RATIONALE: Vaccines made from a peptide may make the body build an immune response and kill tumor cells.

PURPOSE: Randomized phase I trial to study the effectiveness of vaccine therapy in treating patients who have metastatic cancer that has not responded to previous therapy.",Montanide ISA51
NCT00199901,"Study of NY-ESO-1 ISCOMATRIX® in Patients With High-risk, Resected Melanoma","The purpose of this trial is to assess whether treatment with NY-ESO-1 ISCOMATRIX® vaccine improves outcomes for people with Malignant Melanoma which has been removed, but is at high risk of relapse.",ISCOMATRIX® adjuvant
NCT01920191,Phase I/II Trial of IMA950 Multi-peptide Vaccine Plus Poly-ICLC in Glioblastoma,"RATIONALE : IMA 950 is multi tumour-associated peptides (TUMAPs) vaccine, these peptides have been identified on primary glioblastoma multiforme (GBM) cells. Poly-ICLC is a potent vaccine adjuvant with broad innate and adaptive immune enhancing effects. IMA 950 and Poly-ICLC will be administered to patients alongside standard primary therapy for glioblastoma. This includes the alkylating drug temozolomide (TMZ). Effective vaccine-induced immune responses associated with prolonged survival have been observed in glioblastoma patients during TMZ adjuvant therapy, suggesting a possible synergistic effect. A second component of glioblastoma standard treatment is external beam irradiation of the tumor site post-surgery. As a side effect, potentially beneficial tumor-infiltrating immune cells may also be killed by radiation. However, the combination of radiation with immunotherapy has been suggested to be favorable both in pre-clinical models.",Poly-ICLC
NCT03689192,Arginase-1 Peptide Vaccine in Patients With Metastatic Solid Tumors,In this phase I first-in-humans-study a vaccine consisting of arginase-1 (ARG1) peptides and the adjuvant Montanide ISA-51 will be tested in ten patients with metastatic solid tumors. Patients will be treated with an ARG1 vaccine every third week for 45 weeks.,Montanide ISA51
NCT00923195,"Radiation, Chemotherapy, Vaccine and Anti-MART-1 and Anti-gp100 Cells for Patients With Metastatic Melanoma","Background:

* Melanoma antigen recognized by T-cells (MART-1) and gp100 are two genes found in melanoma cells. An experimental procedure developed for treating patients with advanced melanoma uses these genes and a type of virus to make special cells called anti-MART-1 and anti-gp100 cells, which are designed to destroy the patient's tumor. The cells are created in the laboratory using the patient's own tumor cells or blood cells.
* The procedure also uses one of two vaccines-the anti-MART-1 peptide or the anti-gp100 peptide-to stimulate cells in the immune system that may increase the effectiveness of the anti-MART-1 and anti-gp100 cells. Both vaccines are made from a virus that is modified to carry a copy of the MART-1 gene or gp100 gene. The virus cannot cause disease in humans.

Objectives:

- To evaluate the safety and effectiveness of anti-MART-1 and anti-gp100 cells and peptide vaccines for treating patients with advanced melanoma.

Eligibility:

- Patients 18 years of age with metastatic melanoma for whom standard treatments, including aldesleukin (IL-2) therapy to boost immune response, have not been effective.

Design:

* Participants have an initial evaluation with complete medical history, as well as scans, x-rays, and other tests as directed by researchers. Most of the treatments for this study will be given on an inpatient basis.
* Before the treatment begins, participants will undergo leukapheresis (removal of selected blood cells) to obtain cells for preparing the anti-MART-1 and anti-gp100 cells, and for later stem cell transplantation.
* Preinfusion treatment: 5 days of chemotherapy and 2 days of total-body irradiation to prepare the immune system for receiving the anti-MART-1 and anti-gp100 cells.
* Infusion of cells, followed by IL-2 treatment to improve immune response. IL-2 is given as a 15-minute infusion through a vein every 8 hours for a maximum of 15 doses (over 5 days).
* After the cell infusion, participants will be divided into two groups and will receive either the gp100 peptide or MART-1 vaccine, given once a week for 3 weeks. Participants will also have stem cell transplantation (from previously collected stem cells) to promote cell survival.
* Periodic follow-up clinic visits after hospital discharge for physical examination, review of treatment side effects, laboratory tests and scans every 1 to 6 months.",Montanide ISA51
NCT00694551,PSMA and TARP Peptide Vaccine With Poly IC-LC Adjuvant in HLA-A2 (+) Patients With Elevated PSA After Initial Definitive Treatment,"Pilot Immunotherapy Study of Combination Prostate Specific Membrane Antigen (PSMA) and T-cell receptor γ alternate reading frame protein (TARP) Peptide With Poly IC-LC Adjuvant in Human Leukocyte Antigens (HLA)-A2 (+) Patients With Elevated prostatic specific antigen (PSA) After Initial Definitive Treatment

The purpose of the study is to see if the PSMA/TARP proteins in the vaccine, along with the Hiltonol, can arouse and train the immune system to kill the prostate cancer cells. Prostate cancer is the most common cancer and is the second leading cause of cancer deaths in U.S. males. It is curable when it is confined to the prostate (kept from spreading) using surgery or radiation treatments. In some patients the cancer can come back after these treatments. Treatment options for prostate cancer that comes back include procedures or medications which may have significant risks and side effects. Another plan is being looked at that uses the body's immune system to attack prostate cancer cells. A vaccine has been developed that has proteins found in prostate cancer cells. One of the proteins is called PSMA and the other is called TARP. In addition to these proteins, another substance called Poly IC-LC (Hiltonol) will be added to the vaccine to boost its ability to start the immune system.",Poly-ICLC
NCT00004929,Vaccine Therapy Plus QS21 in Treating Patients With Progressive Prostate Cancer,"RATIONALE: Vaccines may make the body build an immune response to kill tumor cells.

PURPOSE: Phase II trial to study the effectiveness of vaccine therapy given with QS21 in treating patients who have progressive prostate cancer.",QS21
NCT01673217,"Decitabine, Vaccine Therapy, and Pegylated Liposomal Doxorubicin Hydrochloride in Treating Patients With Recurrent Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Peritoneal Cancer","This phase I trial is studying the side effects and best dose of decitabine when given together with pegylated liposomal doxorubicin hydrochloride and vaccine therapy in treating patients with recurrent ovarian epithelial cancer, fallopian tube cancer, or peritoneal cancer. Drugs used in chemotherapy, such as decitabine and pegylated liposomal doxorubicin hydrochloride, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Vaccines made from a peptide or antigen may help the body build an effective immune response to kill tumor cells. Giving combination chemotherapy together with vaccine therapy may kill more tumor cells",Incomplete Freund's adjuvant
NCT00986609,MUC1 Vaccine for Triple-negative Breast Cancer,"RATIONALE:

Vaccines made from peptides may help the body build an effective immune response to kill tumor cells. Giving booster vaccinations may make a stronger immune response and prevent or delay the recurrence of cancer.

PURPOSE:

To evaluate the efficacy of poly-ICLC + MUCI peptide vaccine in boosting the immunologic response to MUCI in patients with triple-negative BC",Poly-ICLC
NCT00021164,Vaccine Therapy in Treating Patients With Metastatic Cancer,"RATIONALE: Vaccines made from a peptide may make the body build an immune response and kill tumor cells.

PURPOSE: Randomized phase II trial to study the effectiveness of vaccine therapy in treating patients who have metastatic cancer.",Incomplete Freund's adjuvant
NCT00849121,Two-Arm Study of a DNA Vaccine Encoding Prostatic Acid Phosphatase (PAP) in Patients With Non-Metastatic Castrate-Resistant Prostate Cancer,"The investigators are trying to find new methods to treat prostate cancer. The approach is to try to enhance patients' own immune response against the cancer. In this study, the investigators will be testing the safety of a vaccine that may be able to help the body fight prostate cancer.

The vaccine, called pTVG-HP, is a piece of DNA genetic material that contains genetic code for a protein that is made by the prostate gland, called prostatic acid phosphatase (PAP). The vaccine will be given together with a substance called an adjuvant. Adjuvants are typically given with vaccines and can improve the effect of the vaccine. The adjuvant that will be used in this study is called granulocyte-macrophage colony-stimulating factor (GM-CSF).

The main purpose of this study is to find out whether the vaccine generates long-lived immune responses, and whether a better schedule of vaccination can be found by doing frequent laboratory testing for immune responses. The investigators also want to see if the vaccine stimulates any immune reaction against cancer cells.",rhGM-CSF
NCT00109811,Vaccine Therapy in Treating Patients With Recurrent Prostate Cancer,This phase II trial is studying how well vaccine therapy works in treating patients with recurrent prostate cancer. Vaccines made from peptides may help the body build an effective immune response to kill tumor cells,Incomplete Freund's adjuvant
NCT02234921,Pilot Study of DRibble Vaccine for Prostate Cancer Patients,This is a pilot study of the DRibble vaccine in patients with advanced prostate cancer.,TLR7/8 ligand
NCT00016146,Vaccine Therapy Plus Biological Therapy in Treating Patients With Prostate Cancer,"RATIONALE: Vaccines may make the body build an immune response to kill tumor cells. Biological therapies use different ways to stimulate the immune system and stop cancer cells from growing. Combining vaccine therapy with biological therapy may kill more tumor cells.

PURPOSE: Phase I trial to study the effectiveness in combining vaccine therapy and biological therapy in treating patients who have relapsed prostate cancer.",GPI-0100
NCT00923910,Wilm's Tumor 1 Protein Vaccine to Treat Cancers of the Blood,"Background:

* Most patients with acute lymphoblastic leukemia (ALL) and many patients with acute myelogenous leukemia (AML), chronic myelogenous leukemia (CML) and non-Hodgkin's lymphoma (NHL) have a protein called Wilm's Tumor 1 (WT1) in their cancer cells. This protein is thought to be able to influence the growth of these cancers.
* A vaccine made with the WT1 protein may boost the immune system to help fight these cancers in patients whose cancer cells contain the protein.

Objectives:

* To determine the safety, effectiveness and side effects of giving the WT1 vaccine and donor white blood cells to patients with AML, ALL, CML or NHL who have previously received standard treatment and undergone stem cell transplantation.
* To determine the immune response to the WT1 vaccine and donor white blood cells in these patients and to determine if the response is related to the amount of WT1 protein in the patient's cancer cells.

Eligibility:

* Patients between 1 and 75 years of age with the blood antigen human leukocyte antigen (HLA-A2) and the WT1 cancer protein who have persistent or recurrent blood cancers after stem cell transplantation.
* The prior stem cell transplant donor must be willing to provide additional cells, which will be used to prepare the cellular vaccines and for donor lymphocyte (white blood cell) infusions.

Design:

* Patients are given the WT1 vaccine every 2 weeks for 6 weeks (weeks 0, 2, 4, 6, 8, 10). Each vaccination consists of two injections in the upper arm or thigh.
* On weeks 0, 4 and 8, patients also receive white blood cells from a donor to enhance the immune response. The cells are also given as a 15- to 30-minute infusion through a vein about 1 hour after the vaccine injection. Donor infusions are given only to patients with mild or no graft-vs-host disease resulting from their prior stem cell transplantation.
* Periodic physical examinations, blood and urine tests, scans to evaluate disease and other tests as needed are done for 12 months after enrollment in the study.",IL-4
NCT00003357,Vaccine Therapy Plus QS21 in Treating Women With Breast Cancer Who Have No Evidence of Disease,"RATIONALE: Vaccines made from GM2-KLH and given with QS21 may make the body build an immune response to and kill tumor cells.

PURPOSE: Phase I trial to study the effectiveness of GM2-KLH vaccine plus QS21 in treating patients with breast cancer who have no evidence of disease.",QS21
NCT00845611,Human Leukocyte Antigen (HLA) - A*2402 Restricted Peptide Vaccine Therapy in Patients With Advanced Gastric Cancer,"The purpose of this study it to evaluate the safety and immune response of peptides (URLC10) emulsified with Montanide ISA51 in treating patients with unresectable, advanced or recurrent gastric cancer.",other
NCT00003184,Vaccine Therapy in Treating Women With Metastatic Breast Cancer,"RATIONALE: Vaccines made from breast cancer cells may make the body build an immune response to kill tumor cells.

PURPOSE: Phase I trial to study the effectiveness of vaccines made from breast cancer cells in treating women with metastatic breast cancer.",BCG vaccine
NCT00030823,Vaccine Therapy in Treating Patients at High Risk for Breast Cancer Recurrence,"RATIONALE: Vaccines may make the body build an immune response and decrease the recurrence of breast cancer.

PURPOSE: Pilot trial to study the effectiveness of vaccine therapy in treating patients who are at high risk for breast cancer recurrence.",QS21
NCT01081223,Phase I/II Study To Test The Safety and Efficacy of TVI-Brain-1 As A Treatment For Recurrent Grade IV Glioma,"TVI-Brain-1 is an experimental treatment that takes advantage of the fact that your body can produce immune cells, called 'killer' white blood cells that have the ability to kill large numbers of the cancer cells that are present in your body. TVI-Brain-1 is designed to generate large numbers of those 'killer' white blood cells and to deliver those cells into your body so that they can kill your cancer cells.",other
NCT00004249,Vaccine Therapy Plus QS21 in Treating Patients With Small Cell Lung Cancer That Has Responded to Initial Therapy,"RATIONALE: Vaccines may make the body build an immune response to kill tumor cells. Biological therapies, such as QS21, use different ways to stimulate the immune system and stop cancer cells from growing.

PURPOSE: Phase II trial to study the effectiveness of vaccine therapy plus QS21 in treating patients who have small cell lung cancer that has responded to initial therapy.",QS21
NCT00518206,Study of NY-ESO-1 ISCOMATRIX® in Patients With Measurable Stage III or IV Melanoma,"This was a Phase 2, open-label study of the NY-ESO-1 ISCOMATRIX® (ISCOM) vaccine administered as an intramuscular injection given every 4 weeks to subjects with measurable advanced malignant melanoma. Study objectives included determination of the anticancer activity, cellular and humoral immunogenicity, and safety and tolerability of the NY-ESO-1 ISCOM vaccine administered alone or preceded by a single administration of low-dose cyclophosphamide.",ISCOMATRIX® adjuvant
NCT00705835,Vaccine Therapy of Prostate Cancer Patients With Recombinant Soluble Prostate-Specific Membrane Antigen (Rs-PSMA) Plus the Immunological Adjuvant Alhydrogel,"The purpose of this research is to help us study a vaccine treatment for patients with prostate cancer. A vaccine is a medicine that teaches the body to destroy harmful infections and other diseases, such as cancer. Your immune system is made up of many different types of cells which fight infection and disease in your body. A vaccine may stimulate the immune system to destroy the cancer cells. It may also help to slow the growth of the cancer. The vaccine is a solution given as an injection into or under the skin. It is made up of several parts. The first part is PSMA, a protein present in many cancers, especially prostate cancer. It is referred to as rsPSMA when made in a laboratory for this study and is mixed with a material called Alhydrogel® (aluminum hydroxide suspension) which helps the immune system to make more cancer-fighting cells.",Alhydrogel®
