NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT05238467,Immunological Responses of COVID-19 Vaccination,https://clinicaltrials.gov/study/NCT05238467,,COMPLETED,"Cancer patients with COVID-19 have a 30% higher mortality rate compared to the general population and are considered a high-risk group by the American Association for Cancer Research that should be given ""high priority"" during COVID-19 vaccine administration. Although studies have suggested that vaccination during active treatment with chemo and/or radiation therapy provides suboptimal antibody response, the studies were underpowered and heterogeneous thus putting this conclusion into question. We need data in cancer patients on immunosuppressive chemotherapy at the time of COVID vaccination to understand how immune responses compare to healthy controls and cancer patients not on immunosuppressive therapy.",NO,Cancer; Chemotherapy,OTHER: COVID antibody titers in the blood,"Seroprotection rate, had an antibody titer protective (1:40) at any point in testing, 05/2021-12/31/2022","Seroconversion rate, the proportion of participants who had an antibody titer fourfold increase in their antibody titer to 1:40 or greater after vaccination over baseline, 05/2021-12/31/2022",,University Hospitals Cleveland Medical Center,,ALL,"ADULT, OLDER_ADULT",,42,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,STUDY20210455,2021-05-21,2023-02-13,2023-02-13,2022-02-14,,2023-02-21,"University Hospitals Cleveland Medical Center, Cleveland, Ohio, 44106-5047, United States",
NCT06462001,"BCG + MMC: Adding Mitomycin C to BCG in High-risk, Non-muscle-invasive Bladder Cancer",https://clinicaltrials.gov/study/NCT06462001,,ACTIVE_NOT_RECRUITING,"Instillation of Bacillus of Calmette-Guerin (BCG) into the urinary bladder (intravesical administration) improves rates of disease recurrence and progression after transurethral resection (TUR) of high risk, non-muscle-invasive bladder cancer (NMIBC), but over 30% of people still develop recurrent transitional cell carcinoma (TCC) despite optimal therapy with adjuvant intravesical BCG. Our meta-analysis, including a recent randomised phase 2 trial, suggests that outcomes might be improved further by using an adjuvant intravesical regimen that includes both Mitomycin (MM) and BCG. These promising findings require corroboration in a definitive, large scale, randomised phase 3 trial using standard techniques for intravesical administration.",NO,Transitional Cell Carcinoma|Transurethral Resection,BIOLOGICAL: Bacillus Calmette-Guerin Vaccine Intravesical|DRUG: Mitomycin,"Disease free survival, Death, disease free survival, or evidence of transitional cell carcinoma (TCC), 5 years follow up","Activity, Clear cystoscopy at 3 months, 3 months|Time to Recurrence, Recurrence of TCC bladder, 5 years follow up|Time to Progression, Recurrence of Higher Grade or Stage, 5 years follow up|Safety and adverse events, Adverse Events Graded According to CTC AE V4.03, During treatment phase of the trial (typically 12 months)|Health-Related Quality of Life, QLQ-BLS24. Individual internationally-validated (but subjective) symptom score questionnaire that gives an overall QOL assesment, that can be tracked throughout follow up. They do not use SI units of measurement., 5 years follow up|Health-Related Quality of Life, QLQ-C30. Individual internationally-validated (but subjective) symptom score questionnaire that gives an overall QOL assesment, that can be tracked throughout follow up. They do not use SI units of measurement., 5 years follow up|Health-Related Quality of Life, I-PSS. Individual internationally-validated (but subjective) symptom score questionnaire that gives an overall QOL assesment, that can be tracked throughout follow up. They do not use SI units of measurement., 5 years follow up|Overall Survival Time, Death from any Cause, 5 years follow up|Feasibility as a future standard of care, Compliance with intravesical therapy, measured in percent (%) of planned intravesical therapies actually given, During treatment phase of the trial, typically 1 year|Marginal Resource Use, Number of GP visits, Number of outpatient and emergency department visits, number of inpatient admissions and number of days admitted, 5 years follow up","To consider future exploratory biomarker studies as potential prognostic biomarkers or predictive biomarkers of treatment, Future (as yet unidentified) biomarker expression could be measured and then statistical association of those biomarkers with primary outcome meaures assessed., 5 years follow up",Nottingham University Hospitals NHS Trust,Australian and New Zealand Urogenital and Prostate Cancer Trials Group|University of Sydney,ALL,"ADULT, OLDER_ADULT",PHASE3,500,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,18UR004,2020-12-10,2026-12-01,2026-12-01,2024-06-17,,2024-06-17,"Nottingham University Hospitals, Nottingham, NG51PB, United Kingdom",
NCT00085189,Vaccine Therapy in Treating Patients With Stage IIC-IV Melanoma,https://clinicaltrials.gov/study/NCT00085189,,COMPLETED,This pilot phase II trial studies how well giving vaccine therapy works in treating patients with stage IIC-IV melanoma. Vaccines made from melanoma peptides or antigens may help the body build an effective immune response to kill tumor cells,NO,"Ciliary Body and Choroid Melanoma, Medium/Large Size|Ciliary Body and Choroid Melanoma, Small Size|Extraocular Extension Melanoma|Iris Melanoma|Metastatic Intraocular Melanoma|Mucosal Melanoma|Recurrent Intraocular Melanoma|Recurrent Melanoma|Stage IIC Melanoma|Stage IIIA Intraocular Melanoma|Stage IIIA Melanoma|Stage IIIB Intraocular Melanoma|Stage IIIB Melanoma|Stage IIIC Intraocular Melanoma|Stage IIIC Melanoma|Stage IV Intraocular Melanoma|Stage IV Melanoma",BIOLOGICAL: gp100 antigen|BIOLOGICAL: tyrosinase peptide|BIOLOGICAL: recombinant MAGE-3.1 antigen|BIOLOGICAL: multi-epitope melanoma peptide vaccine|BIOLOGICAL: incomplete Freund's adjuvant|DRUG: Montanide ISA 51 VG|DRUG: agatolimod sodium|OTHER: laboratory biomarker analysis,"Immunologic response defined as either an enzyme-linked immunosorbent spot (ELISPOT) response or a tetramer response for at least one peptide, 26 weeks","Toxicities of the vaccine preparation graded using Common Toxicity Criteria (CTC), Will be summarized in terms of type (organ affected or laboratory determination such as absolute neutrophil count), severity (by CTC criteria and nadir or maximum values for the laboratory measures), time of onset (i.e. weeks from initial peptide vaccination), duration, and reversibility or outcome., Up to 3 years|Time to relapse, Will be summarized with Kaplan-Meier plots to describe the outcome of patients treated on this protocol - for each cohort separately. To evaluate the association between immune response and time to recurrence and overall survival, the landmark method (at 26 weeks, the time of the 2nd leukapheresis for immune assessment) will be used and Kaplan-Meier curves will be calculated and the logrank test statistic will be calculated to compare the outcome of patients with or without an immunologic response., Up to 3 years|Overall survival, Will be summarized with Kaplan-Meier plots to describe the outcome of patients treated on this protocol - for each cohort separately. To evaluate the association between immune response and time to recurrence and overall survival, the landmark method (at 26 weeks, the time of the 2nd leukapheresis for immune assessment) will be used and Kaplan-Meier curves will be calculated and the logrank test statistic will be calculated to compare the outcome of patients with or without an immunologic response., Up to 3 years",,University of Southern California,National Cancer Institute (NCI),ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,42,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,10M-03-3|NCI-2012-02593|CDR0000367485,2004-05,2007-09,2007-09,2004-06-11,,2014-05-22,"University of Southern California, Los Angeles, California, 90033-0804, United States",
NCT00706992,Anti-MART-1 F5 Lymphocytes to Treat High-Risk Melanoma Patients,https://clinicaltrials.gov/study/NCT00706992,,TERMINATED,"Background:

* Melanoma antigen recognized by T cells (MART-1) is a gene that is present in melanoma cells.
* This study tests an experimental treatment that uses the patient's own lymphocytes (type of white blood cell), which are specially selected and genetically modified with a gene called anti-MART-1 transduced cells (F5) to target and destroy their tumor. Some of the cells are given as an infusion and others are given as a vaccine.
* The anti-MART-1 F5 cells are currently being studied in other patients in combination with chemotherapy and IL-2 (aldesleukin) therapy.

Objectives:

-To determine if the anti-MART-1 F5 treatment can improve the immune system's ability to shrink tumors and to prevent melanoma from recurring.

Eligibility:

* Patients 18 years of age and older whose melanoma has been removed and are currently disease-free, but who are at risk for recurrence.
* Patients who do not have ocular or mucosal melanoma.
* Patients with tissue type human leukocyte antigens (HLA-A)\*0201).

Design:

* Workup: Patients have scans, x-rays, laboratory tests, other tests as needed and leukapheresis, a procedure for collecting white cells to modify in the laboratory and later reinfuse into the patient.
* Patients are assigned to one of four study groups:

  * Group 1 receives anti-MART-1 F5 cells by 30-minute infusion through a vein on day 0.
  * Group 2 receives anti-MART-1 F5 cells on day 0 followed by injections of MART-1 vaccine, which contains MART-1 and an oil-based liquid called Montanide ISA-51 VG. The vaccine is repeated on day 30.
  * Group 3 receives anti-MART-1 F5 cells on day 0 followed by injections of low-dose IL-2 for 5 days (days 0-4).
  * Group 4 receives anti-MART-1 F5 cells on day 0 followed by MART-1 vaccine and low-dose IL-2 for 5 days. The vaccine is repeated on day 30.
* Recovery: Patients are monitored closely and given medicines to prevent or treat any side effects of therapy.
* Leukapheresis: Patients undergo leukapheresis at 1 and 3 months after therapy to collect cells to examine the effects of the treatment on the immune system.
* Follow-up: Patients return to National Institutes of Health (NIH) 35 days after completing treatment and then at 3 months and every 6 months thereafter for evaluation with a physical examination, review of side effects, laboratory tests and scans. They have blood tests at 3, 6 and 12 months after treatment and then once a year after that. A biopsy may be requested after treatment ends to examine the effects of treatment on the immune system. All patients return to NIH for a physical examination once a year for 5 years and then complete a follow-up questionnaire for another 10 years.",YES,Melanoma,BIOLOGICAL: ALVAC-MART-1 vaccine|BIOLOGICAL: MART-1:26-35(27L) peptide vaccine|BIOLOGICAL: Aldesleukin|BIOLOGICAL: autologous anti-MART-1 F5 T-cell receptor gene-engineered peripheral blood lymphocytes|BIOLOGICAL: incomplete Freund's adjuvant,"Percentage of Participants With Immunologic Response, Percentage of participants with an immunologic response of \>20 spots/100,000 cells measured by IFN gamma secretion using enzyme linked immunosorbent spot (ELISPOT) assay. This was done using ELISPOT assay which measures immune response at the single cell level., 9/24/08-10/9/12|Number of Participants With Adverse Events, Here is the number of participants with adverse events. For a detailed list of adverse events see the adverse event module., 4 years",,,National Cancer Institute (NCI),,ALL,"ADULT, OLDER_ADULT",PHASE2,50,NIH,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,080162|08-C-0162,2008-06,2012-11,2012-11,2008-06-30,2013-03-19,2015-10-28,"National Cancer Institute (NCI), 9000 Rockville Pike, Bethesda, Maryland, 20892, United States",
NCT04493489,Propranolol Adjuvant Treatment of Bladder Cancer,https://clinicaltrials.gov/study/NCT04493489,,NOT_YET_RECRUITING,"Bladder cancer (bladder cancer) is the tenth most common cancer in the world, ranking 13th in the number of deaths. There are about 549000 new cases of bladder cancer worldwide, with 200000 deaths and a higher incidence rate in men than in women. In 2013, the incidence rate of bladder cancer was high in China, accounting for 2.02% of all new cases. Bladder cancer has become a major disease threatening people's life and health. Therefore, the exploration of the mechanism of the occurrence and development of bladder cancer and effective drugs has been an important focus of bladder cancer research. The current treatment of bladder cancer is mainly TURBT (transurethral resection of bladder tumour) resection and BCG, chemotherapy adjuvant treatment, but its recurrence and metastasis still exist, so this study aims to explore an effective drug treatment. The purpose of this study was to investigate the safety and efficacy of propranolol in adjuvant BCG therapy, and whether propranolol can effectively alleviate the metastasis and recurrence of bladder cancer and improve the survival time after bladder cancer surgery.",NO,Bladder Cancer,DRUG: Propranolol Hydrochloride|DRUG: BCG,"two-year recurrence-free survival, 24 months",,,Central South University,,ALL,"ADULT, OLDER_ADULT",PHASE2,242,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2020/prop/bladder/CSU,2020-09-06,2023-09-06,2024-09-06,2020-07-30,,2020-07-30,,
NCT00365872,External Beam Radiation With Intratumoral Injection of Dendritic Cells As Neo-Adjuvant Treatment for Sarcoma,https://clinicaltrials.gov/study/NCT00365872,,COMPLETED,This is a Phase II study using a combination of external beam radiation with intratumoral injection of dendritic cells (white blood cells) as neo-adjuvant treatment for patients with high-risk soft tissue sarcoma. The purpose was to determine if an injection of the patient's own immune related white blood cells into their tumor would strengthen the immune system to fight against their cancer.,YES,Soft Tissue Sarcoma,BIOLOGICAL: Dendritic Cell (DC) Injections|PROCEDURE: Radiation therapy|PROCEDURE: Complete Resection - Surgery for tumor removal,"Overall Response Rate (ORR), Immune responses in patients treated with EBRT and DCs: Transient immune response = response detected at only one time point; Robust immune response = response detected at least at two time points. An individual patient was considered a responder to tumor cell lysates (TCL) or survivin if at any time point the response in the interferon gamma (IFN-γ) enzyme-linked immunospot (ELISPOT) assay was higher than 30 spots per 2 X 10\^5 cells and in the proliferation assay higher than 3,000 counts per minute (CPM) and the response in IFN-γ ELISPOT or proliferation assays to TCL or Ad-surv was more than 2 standard deviations (SD) higher than the response to the corresponding control lysate or Ad-c at the same time point and 2 SD higher than the response to the same stimuli before start of the treatment., Up to 3 years","Occurrence of Significant (>/= Grade 2) Toxicity, Toxicity assessment during combination external beam radiation therapy (EBRT)/DC neoadjuvant treatment. Toxicity was assessed according to Common Terminology Criteria for Adverse Events (CTCAE) version 3.0 criteria., Up to 3 years|Occurrence of Postoperative Wound Complications, Postoperative wound complications were defined using NCI Common Toxicity Criteria (CTC)., Up to 3 years|Participants With No Evidence of Disease at Follow-up, Participants who had no evidence of the disease for at least one year after the start of the treatment (time of follow-up); for at least 2 years, and for at least 3 years., 3 years","Number of Participants With Increase in Level of Radioactivity at Excision Per Cohort, To identify the nodes to be excised, an injection with Indium 111 (radio active dye) labeled dendritic cells (of vaccine #4) was performed 1 to 3 days prior to surgery. Patients were evenly divided to be assigned to one of three cohorts: Cohort 1, 1 day before surgery; Cohort 2, 2 days before surgery; Cohort 3, 3 days before surgery. Vaccine #4 was labeled in order to evaluate how long dendritic cells need to travel to regional draining lymphatics. Tumor resection was not delayed by this., Up to 3 years",H. Lee Moffitt Cancer Center and Research Institute,Cancer Treatment Research Foundation,ALL,"ADULT, OLDER_ADULT",PHASE2,17,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,MCC-14497,2006-05,2012-06,2012-06,2006-08-18,2014-01-06,2017-03-23,"H. Lee Moffitt Cancer Center & Research Institute, Tampa, Florida, 33612, United States",
NCT05350501,"EO2040 in Combination With Nivolumab, for Treatment of Patients With Minimal Residual Disease of Colorectal Cancer",https://clinicaltrials.gov/study/NCT05350501,CLAUDE,COMPLETED,"The current study will evaluate the microbiome-derived therapeutic vaccine EO2040 in combination with nivolumab in patients with circulating tumor DNA-defined Minimal Residual Disease (MRD) of colorectal cancer stage II, III, or IV after completion of standard curative therapy.",NO,Colorectal Cancer,DRUG: EO2040,"Response to treatment at 6 months, Percentage of patients with ctDNA clearance and no radiographic evidence of recurrence, 6 months","Treatment-Emergent Adverse Events, Number and percentage of patients with Treatment-Emergent Adverse Events (TEAEs), 36 months|Serious Adverse Events, Number and percentage of patients with Serious Adverse Events (SAEs ), 36 months|NCI-CTCAE grading, Number and percentage of patients with at least one NCI-CTCAE v5.0 grade increase or decrease, 36 months|Response to therapy at 3 months, Percentage of patients with ctDNA clearance and no radiographic evidence of recurrence, 3 months|DIsease-free survival, Disease-free survival (DFS) defined as the time from start of study treatment to the date of first documented colorectal cancer (CRC) recurrence or death due to any cause,, 36 months|Overall survival, Overall survival (OS), measured as the time from start of study treatment until death from any cause., 36 months|Immunogenicity and cross-reactivity, Percentage of patients with a positive tetramer staining in peripheral blood mononuclear cells for the two microbial-derived peptides which are part of the therapeutic vaccine EO2040., 6 months",,Enterome,,ALL,"ADULT, OLDER_ADULT",PHASE2,1,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,EOCRC1-22,2023-03-01,2023-12-31,2023-12-31,2022-04-28,,2024-03-15,"MD Anderson, Houston, Texas, 77030, United States",
NCT00199901,"Study of NY-ESO-1 ISCOMATRIX® in Patients With High-risk, Resected Melanoma",https://clinicaltrials.gov/study/NCT00199901,,COMPLETED,"The purpose of this trial is to assess whether treatment with NY-ESO-1 ISCOMATRIX® vaccine improves outcomes for people with Malignant Melanoma which has been removed, but is at high risk of relapse.",YES,Melanoma,BIOLOGICAL: NY-ESO-1 ISCOMATRIX®|BIOLOGICAL: ISCOMATRIX® adjuvant,"Rate of Relapse-free Survival at 18 Months, The number of patients who were alive and relapse free 18 months after starting therapy and the number of patients who relapsed or died within 18 months of starting therapy.

Disease was assessed according to Response Evaluation Criteria in Solid Tumors (RECIST) as measured by CT. Disease progression or relapse was based on an increase of 20% or more in the sum of the longest diameter of target lesions, the appearance of any new lesion as confirmed by CT scan or death., 18 months","Number of Patients With Treatment -Emergent Adverse Events (TEAEs), Toxicity was graded in accordance with the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE), version 3.0. Adverse events (AEs) were reported based on clinical laboratory tests, vital sign and weight measurements, physical examinations, performance status evaluations, electrocardiograms, magnetic resonance imaging, and any other medically indicated assessments, including subject interviews, from the time informed consent is signed through 18 months. AEs were considered to be treatment emergent (TEAE) if they occurred or worsened in severity after the first dose of study treatment., 18 months|Relapse-Free Survival During the Entire Period of Observation (up to 6 Years)., Disease was assessed according to Response Evaluation Criteria in Solid Tumors (RECIST) as measured by CT. Disease progression or relapse was based on an increase of 20% or more in the sum of the longest diameter of target lesions, the appearance of any new lesion as confirmed by CT scan or death., through study completion; up to 6 years|Overall Survival, Overall Survival measured during the entire Period of Observation (up to 6years).

Overall survival was measured from start of treatment to the last follow-up or death., through study completion; up to 6 years|NY-ESO-1 Antibody Response at Baseline Reported on a Scale of 0 to 4 With 0 Being no or Minimal Antibody Response and 4 the Highest Antibody Response, NY-ESO-1-specific antibodies were measured by an enzyme-linked immunosorbent assay ( ELISA) method at baseline and on days 71, 197, 365 and end of study. The results are reported as antibodies to NY-ESO-1-specific Total IgG (reciprocal titer) and were scored on a scale of 0-4 with 0 being no or minimal antibody response (reciprocal titer of 0-100) and 4 a strong antibody response (reciprocal titer of \>100,000). The number of patients with each antibody response level are tabulated at each timepoint., Baseline|NY-ESO-1 Antibody Response on Day 71 Reported on a Scale of 0 to 4 With 0 Being no or Minimal Antibody Response and 4 the Highest Antibody Response, NY-ESO-1-specific antibodies were measured by an enzyme-linked immunosorbent assay ( ELISA) method at baseline and on days 71, 197, 365 and end of study. The results are reported as antibodies to NY-ESO-1-specific Total IgG (reciprocal titer) and were scored on a scale of 0-4 with 0 being no or minimal antibody response (reciprocal titer of 0-100) and 4 a strong antibody response (reciprocal titer of \>100,000). The number of patients with each antibody response level are tabulated at each timepoint., Day 71|NY-ESO-1 Antibody Response on Day 197 Reported on a Scale of 0 to 4 With 0 Being no or Minimal Antibody Response and 4 the Highest Antibody Response, NY-ESO-1-specific antibodies were measured by an enzyme-linked immunosorbent assay ( ELISA) method at baseline and on days 71, 197, 365 and end of study. The results are reported as antibodies to NY-ESO-1-specific Total IgG (reciprocal titer) and were scored on a scale of 0-4 with 0 being no or minimal antibody response (reciprocal titer of 0-100) and 4 a strong antibody response (reciprocal titer of \>100,000). The number of patients with each antibody response level are tabulated at each timepoint., Day 197|NY-ESO-1 Antibody Response on Day 365 Reported on a Scale of 0 to 4 With 0 Being no or Minimal Antibody Response and 4 the Highest Antibody Response, NY-ESO-1-specific antibodies were measured by an enzyme-linked immunosorbent assay ( ELISA) method at baseline and on days 71, 197, 365 and end of study. The results are reported as antibodies to NY-ESO-1-specific Total IgG (reciprocal titer) and were scored on a scale of 0-4 with 0 being no or minimal antibody response (reciprocal titer of 0-100) and 4 a strong antibody response (reciprocal titer of \>100,000). The number of patients with each antibody response level are tabulated at each timepoint., Day 365|NY-ESO-1 Antibody Response at End of Study Reported on a Scale of 0 to 4 With 0 Being no or Minimal Antibody Response and 4 the Highest Antibody Response, NY-ESO-1-specific antibodies were measured by an enzyme-linked immunosorbent assay ( ELISA) method at baseline and on days 71, 197, 365 and end of study. The results are reported as antibodies to NY-ESO-1-specific Total IgG (reciprocal titer) and were scored on a scale of 0-4 with 0 being no or minimal antibody response (reciprocal titer of 0-100) and 4 a strong antibody response (reciprocal titer of \>100,000). The number of patients with each antibody response level are tabulated at each timepoint., End of Study (month 18)",,Ludwig Institute for Cancer Research,"Institute of Cancer Research, United Kingdom",ALL,"ADULT, OLDER_ADULT",PHASE2,111,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",LUD2003-009,2005-09,2008-12,2011-12,2005-09-20,2021-04-08,2022-10-12,"Sydney Melanoma Unit - Royal Prince Alfred Hospital, Camperdown, New South Wales, 2050, Australia|Newcastle Melanoma Unit - Newcastle Mater Misericordiae Hospital, Newcastle, New South Wales, 2298, Australia|Mater Medical Centre, Princess Alexandra Hospital, Woolloongabba, Queensland, 4102, Australia|Peter MacCallum Cancer Centre, East Melbourne, Victoria, 3002, Australia|Austin Health (Ludwig Institute Oncology Unit), Heidelberg, Victoria, 3084, Australia|Sir Charles Gairdner Hospital, Nedlands, Western Australia, 6009, Australia|University of Auckland (Waitemata DHB), Auckland, New Zealand|University Hospital - Birmingham, Birmingham, B29 6JD, United Kingdom|Addenbrooke's Hospital, Cambridge, CB2 2QQ, United Kingdom|Western Infirmary, Glasgow, G11 6NT, United Kingdom|St Georges Hospital, London, SW17 0RE, United Kingdom|Royal Marsden Hospital, London, SW3 6JJ, United Kingdom|Mount Vernon Hospital, Northwood, HA6 2RN, United Kingdom|Weston Park Hospital, Sheffield, S10 2SJ, United Kingdom|Southampton University Hospitals, Southampton, SO16 6YD, United Kingdom",
NCT01290692,Study To Test the Safety and Efficacy of TVI-Brain-1 As A Treatment for Recurrent Grade IV Glioma,https://clinicaltrials.gov/study/NCT01290692,,COMPLETED,"TVI-Brain-1 is an experimental treatment that takes advantage of the fact that your body can produce immune cells, called 'killer' white blood cells that have the ability to kill large numbers of the cancer cells that are present in your body. TVI-Brain-1 is designed to generate large numbers of those 'killer' white blood cells and to deliver those cells into your body so that they can kill your cancer cells.",YES,Grade IV Glioma|Grade IV Astrocytoma|Glioblastoma Multiforme,BIOLOGICAL: TVI-Brain-1,"Progression of Disease, To assess the efficacy of TVI-Brain-1 on patients to evaluate progression free survival. MRI data is used to evaluate tumor progression; success is defined if a patient is still alive and has \< 25 % increase in Tumor volume in MRI collected at 6 month timepoint., 6-months","Overall Survival, All patients will be followed until death or the end of the study to measure overall survival., 32 months|Number of Participants With Treatment-related Adverse Events as Assessed by CTCAE v4.0, Toxicity will be assessed throughout the study by recording clinical symptoms, performing physical examinations, measuring vital signs and performing clinical laboratory tests, including complete blood counts and differentials, blood chemistries and autoimmune profiles., 12 weeks|Time to Progression of Tumor Per MRI, Time to progression is defined date of evidence of increase in tumor volume as evaluated by review and analysis of imaging, using MacDonald Criteria in review of serial MRI's taken at specific timepoints, 32-months|Objective Response Rate, Time to progression is defined as assessed by neurologists and radiologists evaluation of time to worsening of patient's neurological status and/or increase in tumor volume measurements as evaluated by review and analysis of serial physical exams and MRI's taken at specific timepoints, 32-months|Delayed-type Hypersensitivity (DTH) Skin Testing, Skin Test using attenuated autologous cancer cells will be performed to assess the immunogenicity of the Subject's cancer.

Evidence of a Resulting wheal or flare reaction from sub-cutanous injection of test will be evaluated in each patient, 48 hours|Quality of Life as Measured by FACT-Br Tool Score, Quality of life data using the FACT-Br score tabulation from responses on validated tool, 32 months",,TVAX Biomedical,,ALL,"ADULT, OLDER_ADULT",PHASE2,14,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,TVI-AST-005,2011-06,2013-12,2014-02,2011-02-07,2023-06-29,2023-07-03,"Saint Luke's Hospital, Kansas City, Missouri, 64111, United States|Washington University, Saint Louis, Missouri, 63110, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Aurora BayCare Medical Center, Green Bay, Wisconsin, 54311, United States",
NCT01924169,Lenalidomide as Immune Adjuvant in Patient's With Chronic Lymphocytic Leukemia (CLL),https://clinicaltrials.gov/study/NCT01924169,,TERMINATED,The goal of this clinical research study is to learn if lenalidomide can increase the level of immunoglobulins (parts of the blood that may help to improve the immune system's function) and/or will improve the protective effect of the flu and pneumonia vaccines in patients with CLL.,YES,Hematologic Disorder,DRUG: Lenalidomide|BIOLOGICAL: Influenza Vaccine|BIOLOGICAL: Pneumovax Vaccine,"Number of Participants With IgG Response, IgG response defined as having improvement in IgG level by at least 25% at 6 months, compared to baseline., 6 months","Seroconversion Response, Study considered positive in regard to the secondary endpoints if seroconversion is observed in 60% or more of the subjects for at least one of the vaccinations given., 4 weeks after flu vaccine administered",,M.D. Anderson Cancer Center,Celgene Corporation,ALL,"ADULT, OLDER_ADULT",PHASE2,3,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2013-0371|NCI-2014-01058,2014-11-24,2017-02-21,2017-02-21,2013-08-16,2018-03-27,2018-09-20,"University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/69/NCT01924169/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/69/NCT01924169/SAP_001.pdf"
NCT02548169,Dendritic Cell Vaccine and Chemotherapy for Patients With Pancreatic Cancer,https://clinicaltrials.gov/study/NCT02548169,PancVax,TERMINATED,"The primary objective is to confirm clinical safety and feasibility of combining the antigen-loaded Dendritic Cell (DC) vaccine with chemotherapy including folinic acid, oxaliplatin, irinotecan and 5-Fluorouracil (5FU) (FOLFIRINOX) and nab-paclitaxel/gemcitabine in patients with pancreatic cancer.

The secondary objectives of this trial are to determine preliminary clinical efficacy based on response rates, overall survival and progression free survival compared with historic control, and surgical conversion rate as defined as percent of locally advanced (unresectable) patients achieving resectability within 6 months of treatment initiation. Also, to identify vaccine immunogenicity by measuring acquired, T cell-mediated immune activating events post-vaccination and to correlate clinical response with acquired immune responses.",NO,Pancreatic Cancer,BIOLOGICAL: DC Vaccine + Standard of Care Chemotherapy,"Safety and feasibility of combining the DC vaccine with chemotherapy DC vaccine dose-limiting toxicities will be measured according to the NCI Common Terminology Criteria for Adverse Events (CTCAE) Version 4.03, Follow up for toxicity will be recorded for the first 30 days following the last DC vaccination and any long-term toxicity will be followed for 3 years after completing study therapy., 3 Years","Objective Response, Overall response rate will be assessed by using standard Response Evaluation Criteria in Solid Tumors (RECIST)., 3 years|Overall Survival, Time from the start of therapy to death from any cause., 3 years|Progression Free Survival, Time from enrollment until objective tumor progression or death, 3 Years|Average of all changes in Quality of Life (QoL) Score, Quality of Life score will be assessed by using self-administered questionnaires, 3 Years",,Baylor Research Institute,,ALL,"ADULT, OLDER_ADULT",PHASE1,7,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,015-119,2015-08,2017-04-24,2017-04-24,2015-09-14,,2019-01-29,"Charles A. Sammons Cancer Center, Dallas, Texas, 75246, United States",
